city,latitude,longitude,population,country_code,c40,Population with at least some secondary education (% ages 25 and older),"Mean years of schooling, male (years)",Share of seats in parliament (% held by women),"Adolescent birth rate (births per 1,000 women ages 15-19)",Total population (millions),Sex ratio at birth (male to female births),"Remittances, inflows (% of GDP)","Foreign direct investment, net inflows (% of GDP)",Private capital flows (% of GDP),"Life expectancy at birth, female (years)",Exports and imports (% of GDP),Human Development Index (HDI),Total unemployment rate (female to male ratio),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Inequality in income (%),Official entrance age to primary education (years),"Gross enrolment ratio, lower secondary, female (%)","Gross enrolment ratio, pre-primary, both sexes (%)","Gross enrolment ratio, pre-primary, male (%)","Gross enrolment ratio, primary, gender parity index (GPI)","Gross enrolment ratio, secondary, gender parity index (GPI)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of primary education, female (%)","Labor force, female (% of total labor force)","Mortality rate, under-5 (per 1,000 live births)",Percentage of enrolment in pre-primary education in private institutions (%),"Percentage of male students enrolled in primary education who are over-age, male (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Percentage of repeaters in primary education, all grades, female (%)","Percentage of students enrolled in primary education who are over-age, both sexes (%)","Population, female (% of total)","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, both sexes (%)","Unemployment, male (% of male labor force) (modeled ILO estimate)",Agricultural water withdrawal as % of total water withdrawal,Industrial water withdrawal as % of total water withdrawal,Interannual variability (WRI),MDG 7.5. Freshwater withdrawal as % of total renewable water resources,SDG 6.4.1. Industrial Water Use Efficiency,SDG 6.4.2. Water Stress,Total internal renewable water resources per capita,country
Aalborg,57.0337,9.9166,122219.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Aarhus,56.1572,10.2107,237551.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Copenhagen,55.6786,12.5635,1085000.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Esbjerg,55.467,8.45,72205.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Frederikshavn,57.4337,10.5333,24103.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Odense,55.4004,10.3833,158222.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Vejle,55.708999999999996,9.535,51177.0,DNK,False,90.949,12.394,39.106,4.123,5.772,1.06,0.385,-1.859,4.798,82.865,105.00200000000001,0.94,1.115,47.831,11.383,6,117.85999298095699,95.9232864379883,95.8318405151367,0.9847199916839591,1.0396900177002,143.508377075195,96.9127578735352,47.0698261807839,4.3,16.9657592773438,3.56494998931885,0.985620021820068,0.8007599711418149,2.73148989677429,50.2731645834414,-1.7644959934564213,98.79931640625,5.900000095367429,44.083119687,4.4393469167,1.0,12.3516666667,1807.1294338576001,20.040562466199997,1046.7050249167999,Denmark
Abidjan,5.3364,-4.0267,4980000.0,CIV,False,26.78,6.36,13.277000000000001,117.62700000000001,25.717,1.03,0.575,3.6269002550049354,-3.785110806786924,59.119,45.597,0.5379999999999999,1.261,47.808,27.041,6,46.2927589416504,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,14.8318395614624,8.00412239626853,49.245815723814296,2.8,63.0333595275879,8.10000038146973,51.6351118761,20.82616179,1.1,1.381031614,36.5888403386,5.0875656743,3144.3516861606,Côte d'Ivoire
Daloa,6.89,-6.45,255168.0,CIV,False,26.78,6.36,13.277000000000001,117.62700000000001,25.717,1.03,0.575,3.6269002550049354,-3.785110806786924,59.119,45.597,0.5379999999999999,1.261,47.808,27.041,6,46.2927589416504,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,14.8318395614624,8.00412239626853,49.245815723814296,2.8,63.0333595275879,8.10000038146973,51.6351118761,20.82616179,1.1,1.381031614,36.5888403386,5.0875656743,3144.3516861606,Côte d'Ivoire
Korhogo,9.4578,-5.6294,286071.0,CIV,False,26.78,6.36,13.277000000000001,117.62700000000001,25.717,1.03,0.575,3.6269002550049354,-3.785110806786924,59.119,45.597,0.5379999999999999,1.261,47.808,27.041,6,46.2927589416504,7.15897989273071,7.12679004669189,0.8872200250625609,0.7180200219154359,27.7570304870605,96.3685684204102,40.5160045737979,95.1,28.625249862670803,8.576193747326457,15.2114896774291,14.8318395614624,8.00412239626853,49.245815723814296,2.8,63.0333595275879,8.10000038146973,51.6351118761,20.82616179,1.1,1.381031614,36.5888403386,5.0875656743,3144.3516861606,Côte d'Ivoire
